eague Table
Team	P	W	D	L	Pts
1	Man City	38	28	5	5	89
2	Arsenal	38	26	6	6	84
3	Man Utd	38	23	6	9	75
4	Newcastle	38	19	14	5	71
5	Liverpool	38	19	10	9	67
6	Brighton	38	18	8	12	62
7	A Villa	38	18	7	13	61
8	Tottenham	38	18	6	14	60
9	Brentford	38	15	14	9	59
10	Fulham	38	15	7	16	52
11	C Palace	38	11	12	15	45
12	Chelsea	38	11	11	16	44
13	Wolves	38	11	8	19	41
14	West Ham	38	11	7	20	40
15	B'mouth	38	11	6	21	39
16	N Forest	38	9	11	18	38
17	Everton	38	8	12	18	36
18	Leicester	38	9	7	22	34
19	Leeds	38	7	10	21	31
20	So'ton	38	6	7	25	25
