Atlanta Hawks,Hawks,ATL
Boston Celtics,Celtics,BOS
Brooklyn Nets,Nets,BKN
Charlotte Hornets,Hornets,CHA
Chicago Bulls,Bulls,CHI
Cleveland Cavaliers,Cavaliers,Cavs,CLE
Dallas Mavericks,Mavericks,Mavs,DAL
Denver Nuggets,Nuggets,DEN
Detroit Pistons,Pistons,DET
Golden State Warriors,Warriors,GSW,Golden State
Houston Rockets,Rockets,HOU
Indiana Pacers,Pacers,IND
LA Clippers,Clippers,LAC
Los Angeles Lakers,Lakers,LAL,LA Lakers,Lakeshow
Memphis Grizzlies,Grizzlies,MEM
Miami Heat,Heat,MIA
Milwaukee Bucks,Bucks,MIL
Minnesota Timberwolves,Timberwolves,Wolves,MIN
New Orleans Pelicans,Pelicans,NOP,NOLA
New York Knicks,Knicks,NYK
Oklahoma City Thunder,Thunder,OKC
Orlando Magic,Magic,ORL
Philadelphia 76ers,76ers,Sixers,PHI
Phoenix Suns,Suns,PHX
Portland Trail Blazers,Trail Blazers,Blazers,POR
Sacramento Kings,Kings,SAC
San Antonio Spurs,Spurs,SA
Toronto Raptors,Raptors,TOR
Utah Jazz,Jazz,UTA
Washington Wizards,Wizards,WAS
